appid,title,price,description,genres,publisher
3320200,Kaal Yoddha,,"Kaal Yoddha is an action-adventure game steeped in the mythic heritage of ancient India. Step into the role of Prince Avyaan, a skilled warrior driven by curiosity and valor, as he answers a mysterious plea for help from a remote island besieged by a terrifying curse.","Action, Adventure, Indie, Free To Play",Treta Studios
3320210,Maid Cafe on Electric Street Soundtrack,3.99,This is the Maid Cafe on Electric Street Soundtrack.,Unknown,PLAYISM
3320220,Bat Blast! Soundtrack,,"Bat Blast! Original Game Soundtrack. 34 tracks of retro, dungeon-y, craziness.",Free To Play,Cyan Sundae
3320260,Mechanic Supermarket Simulator,,"Gear up and take the wheel in Mechanic Supermarket Simulator! Build, manage, and expand your very own automotive retail empire. From stocking shelves with cutting-edge car parts to mastering market trends, can you create the ultimate one-stop shop for car enthusiasts?","Indie, Simulation",Midnight Games
3320270,Chertovica,,"All the cherts are getting married tonight, on a night called Chertovica. Grab your axe, chug down your last tankard, and kick them back to hell where they belong in this retro, melee-centric boomer shooter.","Action, Indie",Jester's Tales
3320290,DreamlessGirl - Skin Pack Rose-Hued Uniforms,2.69,"Doctor, Nurse, or Patient?Join the girls' doctor game now💉——The Rose-Hued Uniforms Character Skin Expansion Pack is officially released, available for purchase!","Action, Adventure, Casual, Indie, RPG",LoveStoryProject
3320310,Escape the Laser Trap,,"Step into deadly corridors filled with laser traps, relentless robots, and a terrifying alien humanoid. Dodge lasers, shoot robots, deactivate traps or use them to fight enemies. Explore the maze, find clues and escape.","Action, Indie",AB Games
3320320,次元沙漏的棋盘 Dimensional Racing Board,,It is a turn-based board fantasy role-playing game. You play as heroes from different dimensions to race against your friends on the board to see who reaches the finish line first. The rule is easy. The player who crosses the finish line first wins.,"Casual, Indie, RPG, Strategy",沙漏与门工作室Hourglass&Gate Studio
3320330,Cursed Baby,3.99,"The once #1 horror game on the Horror list of Itch is back! Join now and use a variety of repair tools to experience life as a handyman in a haunted house, uncover the terrifying past of this old house and face the terrifying demon baby head-on!","Adventure, Indie",Yahaha Studios
3320340,Nomadic Tale (Harvest Elysium),19.99,"Nomadic Tale is a 3D action-adventure game where you play as a backpacker working in orchards and mines. Explore maze-like fields, gather resources, and complete seasonal missions. Meet unique heroines each season, deepening your story. Enjoy nighttime events filled with romance and adventure!","Action, Indie, RPG",XXIV
3320350,Mother Machine Demo,,"Climb, jump, and explore alien caves full of emergent surprises in this 1-4 player co-op action-rpg platformer. Customize your cute chaos gremlin with a never-ending appetite for adventure &amp; mayhem! Unlock a vast range of mutations to choose your preferred playstyle and role in a group.","Action, Adventure, Indie",Maschinen-Mensch
3320360,The Patient - Prologue Playtest,,,Unknown,Unknown
3320370,Little Adventure Tale,,Little Adventure tale is a Roguelike Deckbuilder set in a cute fantasy world where you can enlist the help of the Guild to Hire companions and manage several Card Decks &amp; Accept Quests to earn more rewards! All this in order to banish the Evil Lord Obradin!,"Casual, Indie, RPG, Strategy",TheOilyGooseStudio
3320380,Hangul Typing Tale,9.99,Learning to type Korean 한글 from ZERO!,"Casual, Indie",Vit Corp.
3320390,Slug's Sister Defense,3.98,"A spin-off from the asymmetric party action game &quot;Goonya Monster,&quot; with character designs by Terada Tera! Experience exhilarating roguelike tower-defense action! Defend the captive Snail from enemies approaching from all directions by acquiring and upgrading a variety of weapons and gear!","Casual, Indie, Early Access",MUTAN
3320400,Holdfast: Nations At War - Blackpowder Firearms,7.99,"With valour and glory, march onto the battlefields of Holdfast with a brand new selection of firearms.","Action, Indie, Massively Multiplayer, RPG, Simulation, Strategy",Unknown
3320440,CannonHead,,"CannonHead is a third-person action shooter inspired by 1920s and 1930s animations. Explore unique worlds, recruit companions, and discover new weapons to face powerful enemies.",Action,R3D
3320460,NWO - Anarchy Collapsed Demo,,"New World Order: Anarchy CollapsedThe world is divided. The enemy is coming. Only one leader will rise.In a world on the brink of destruction, power is everything. NWO: Anarchy Collapsed is a grand strategy game fused with idle mechanics, where every second counts.",Unknown,SIA KNK DEVELOP
3320480,All Will Fall Playtest,,,Unknown,Unknown
3320490,Row Hard,,"Paddles, splashing of water and hard racing. Build your team, coach, mentor and lead them through tough choices to Olympic gold. Learn the price of victory! Deep story with resource management and rhythm sports races. What are you willing to sacrifice to win?","Indie, Racing, Simulation, Sports, Strategy",Surreal Overflow
3320510,Lines of Balls,4.99,"Remove the balls from the field by making lines. Make lines of five or more balls of the same color. The more balls in a line, the more points you get.","Casual, Indie",Taranau Aliaksei
3320520,cat lines,2.79,Control a cute kitten that leaves a trail of yarn behind! Solve puzzles by covering all the blocks with the yarn line. A relaxing and challenging game for cat lovers!,"Casual, Indie",Tribus Games Indie
3320530,ととのいシミュレーター,2.99,"The Totoi simulator is a simulator to feel “Totoi” by slowly soaking in a hot spring, taking a sauna, or bathing in a water bath, The Totoi Simulator is a simulator that allows you to feel “Totoi” by slowly soaking in a hot spring, taking a sauna, or taking a water bath.","Indie, Simulation",Crush-vAdin
3320540,Run Pizza Run 2,,"Online pizza delivery simulator! Deliver pizzas, compete with friends, and conquer a chaotic online world full of obstacles and unexpected challenges. New maps, modes, and tons of fun await you! Ready to become the best delivery driver? Embrace the chaos!","Action, Adventure, Indie, Massively Multiplayer, Simulation",IZI Games
3320560,BattleHeights Playtest,,,Unknown,Unknown
3320590,Vampire Therapist - Couples Therapy,2.99,"You've helped the immortal undead live with themselves, but can you help them live with one another? Can vampires find domestic bliss? You'll need all your therapy skills to handle this couple in this expansion to the award-winning Vampire Therapist!","Indie, Simulation",Unknown
3320600,In The Night You Had Bad Dreams,,"In the Night You Had Bad Dreams is a first-person horror game. You're trapped inside a strange house that seems to shift and change, waiting for you to solve unconventional puzzles. ","Indie, Free To Play",ENAB-f
3320650,Alaloth - Champions of The Four Kingdoms - Ultimate Pack,14.99,Alaloth: Champions of The Four Kingdoms - ULTIMATE PACK,"Action, Adventure, Indie, RPG, Strategy",Gamera Interactive
3319700,新世界：暗影成双,,这是一款双人合作类的互动影游。1941年的上海沦为孤岛，你们一位扮演军统特工，一位扮演钱庄商人，共同卷入一场金融血案。信任和猜忌，合作与背叛。你们的选择将共同影响故事走向，一起开启专属你们的民国冒险。,"Adventure, Casual, Indie, RPG",ALT Lab
3319710,CybArena,4.99,"CybArena is a wave-based survival game set in a gritty cyberpunk dystopia. Battle endless waves of enemies, harness powerful perks and power-ups, and see how long you can endure. How far will you go?",Action,Cojokero Games
3319720,Kernel,,"In the universe billions of years later, life no longer exists. The adventurer Kamus travels to the unknown star realm as a hope to break the deadlock, exploring the ultimate destiny of the soul through battle and conquest.","Indie, Strategy",ArchZoDo
3319730,Purrfect Chatter 喵语心扉,,"This is a simulation game. After running the game, it will create an overlay on your desktop that could be moved using your mouse. After right-clicking on the overlay, users can open a new dialogue window, chat with the catgirl and listen to her voice.","Casual, Free To Play",MUMU Developer Studio
3319740,Learn Japanese Kana & Vocab with Sushi,,"Learn Japanese With Sushi is a edutainment game that teaches Japanese through sushi-themed mini-games. Practice katakana, hiragana, and vocabulary—including kanji—by matching, typing, and sorting sushi. Unlock new words via gachapon, customize JLPT levels (N5-N3), and enjoy a pixel-art sushi bar!",Indie,The Farting Cat
3319750,Mati,4.99,"Explore the quiet forest of Suverdale in the third person as Mati (or Matine), a 12-year-old kid visiting his grandparents on his summer vacation. In this relaxing walking simulator, try to discover the mysteries behind Suverdale's history, but expect a surprise or two.","Adventure, Casual, Indie",Germanium HQ eU
3319760,The Hundred Line -Last Defense Academy- Artbook,69.99,"&quot;This is a digital art book of ”The Hundred Line -Last Defense Academy-”. It features character setting materials, concept art/image boards created at the beginning of development, and comments from the creators!&quot;","Adventure, Simulation",Aniplex Inc.
3319770,Deluge: Threnody of Crashing Waves — Ina After Story,5.39,An After Story DLC bonus chapter for Ina's character route.,"Adventure, Indie, Free To Play",socah
3319780,Encounter,9.99,"Your mission, locate and free a kidnapped teenager in less than two hours. Use your Private Investigator instincts and skills to explore the area, craft items to get rid of obstacles by entering text commands.","Adventure, Casual",Defence Force
3319790,Tactical Domination: Operation Veranite,,Command one of three distinct factions in a fierce battle for the enigmatic resource Veranite. Utilize powerful units and strategic abilities to vie for complete supremacy. The destiny of the future lies in your hands.,Strategy,"R1ckhy, Digitalomon"
3319830,The Black Knight Chronicles: The Widow without Time - Crossroads,2.99,Crossover Story with &quot;Untold Tales of Citadale&quot;.,"Indie, RPG",Plug In Digital
3319880,DYNASTY WARRIORS: ORIGINS - Official Book & Original Soundtrack (Digital Edition),19.99,A digital art book containing the Official Book (Japanese) &amp; Original Soundtrack,"Action, RPG, Strategy","KOEI TECMO GAMES CO., LTD."
3319940,DYNASTY WARRIORS: ORIGINS - ICHIRAN Noodles,,"The portable item &quot;ICHIRAN Noodles,&quot; obtained from the Shop.","Action, RPG, Strategy, Free To Play","KOEI TECMO GAMES CO., LTD."
3319960,One Tap Roulette,,"One Tap Roulette is a 1v1 multiplayer survival game of Russian roulette where every shot counts. Challenge your friends or face the world, climb the global leaderboard, outlive your oponent, but be careful : death is permanent. Are you taking the shot?","Casual, Simulation, Strategy",Demon Max
3319980,"The Legend of Heroes: Kai no Kiseki -Farewell, O Zemuria-",57.99,"The latest installment in the popular story-driven Kiseki RPG series is here! The 20th-anniversary title, The Legend of Heroes: Kai no Kiseki -Farewell, O Zemuria-, where the epic story of the continent of Zemuria takes a dramatic turn, is now available on Steam®!",RPG,Clouded Leopard Entertainment
3319990,Pocket Legend Demo,,Inventory Rogue-like Deckbuilding Game,Strategy,Shading Box
3320000,TailScape: The corgi’s Advendture,,Tailscape is a Metroidvania game starring a cute puppy. Solve hidden puzzles and sometimes face large enemies to fill in the story of the bond between humans and animals.,"Adventure, Indie",NE159 Games
3320020,Cats With Standards,,"A grotesque fever dream where cats claw through filth for bones, whisper lies to mirrors, and beg for approval from a society that purrs perfection but reeks of decay. Obey, smile, repeat—until the lines between rule and ruin blur, and you’re left meowing into the void.","Adventure, Casual, Indie",Jestercraft
